id,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant_room,store_room,furnishing_type,luxury_category,floor_category,img,society,near_locatio
11,flat,sector 85,1.09,2.0,2.0,3,Relatively New,1638.0,0.0,1.0,unfurnished,High,Mid Floor,static/data/11.jpg,Ss The Leaf,"{'Delhi Public School Sector 84': '0.65 Km', 'Genesis Hospital Sector 84': '0.7 Km', 'Sapphire 83 Mall': '2.6 Km', 'Holiday Inn Hotel Sector 90': '3 Km', 'Dwarka Expressway': '3.8 Km', 'Central Peripheral Road': '3.9 Km', 'Nakhrola Stadium Sector 81A': '5.3 Km', 'NH 08': '8.1 Km', 'Imt Manesar': '8.1 Km', 'Pataudi Road': '9.2 Km', 'DPG Institute of Technology': '11.6 Km', 'SkyJumper Trampoline Park': '13.4 Km', 'Indira Gandhi International Airport': '29.9 Km'}"
12,flat,sector 85,1.77,3.0,4.0,3+,New Property,2179.0,0.0,1.0,unfurnished,Medium,Mid Floor,static/data/12.jpg,Ss The Leaf,"{'Delhi Public School Sector 84': '0.65 Km', 'Genesis Hospital Sector 84': '0.7 Km', 'Sapphire 83 Mall': '2.6 Km', 'Holiday Inn Hotel Sector 90': '3 Km', 'Dwarka Expressway': '3.8 Km', 'Central Peripheral Road': '3.9 Km', 'Nakhrola Stadium Sector 81A': '5.3 Km', 'NH 08': '8.1 Km', 'Imt Manesar': '8.1 Km', 'Pataudi Road': '9.2 Km', 'DPG Institute of Technology': '11.6 Km', 'SkyJumper Trampoline Park': '13.4 Km', 'Indira Gandhi International Airport': '29.9 Km'}"
13,flat,sector 107,0.9,2.0,2.0,3+,Relatively New,1236.0,0.0,0.0,semifurnished,Low,Mid Floor,static/data/13.jpg,M3m Woodshire,"{'Signum 107': '0.45 Km', 'The Shikshiyan School': '1.9 Km', 'Nora Solomon Medicenter': '2.9Km', 'Najafgarh Jheel Bird Sanctuary': '3.6 Km', 'Skylark Cricket Academy': '3.8 Km', 'Indira Gandhi International Airport': '21.2Km'}"
14,flat,sector 3,1.2,2.0,2.0,3,Under Construction,1307.0,0.0,0.0,unfurnished,Medium,Low Floor,static/data/14.jpg,Godrej Habitat,"{'Sneh Hospital': '0.15 Km', 'Gems International School': '2.5 Km', 'Country Inn & Suites by Radisson': '4.1 Km', 'Dwarka Expressway': '5.8 Km', 'HUDA Mini Golf Course': '5.8 Km', 'National Highway 8': '6.2 Km', 'Star Mall': '6.7 Km', 'Appu Ghar Water Park': '8.2 Km', 'Huda City Centre Metro Station': '8.2 Km', 'ICFAI University': '9.8 Km', 'Indira Gandhi International Airport': '20.4 Km'}"
15,house,sector 41,9.0,8.0,5.0,3+,Old Property,3240.0,1.0,1.0,semifurnished,Low,Mid Floor,static/data/15.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
16,house,sector 41,7.0,7.0,7.0,3+,Moderately Old,2475.0,1.0,1.0,furnished,High,Mid Floor,static/data/16.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
17,house,sector 4,0.4,1.0,1.0,0,Moderately Old,450.0,0.0,0.0,unfurnished,Low,Low Floor,static/data/17.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
18,house,sector 109,5.65,4.0,4.0,3+,New Property,5400.0,1.0,0.0,semifurnished,Low,Low Floor,static/data/18.jpg,International City By Sobha Phase 2,"{'Euro International School': '1.1 KM', 'Dwarka Expressway': '2.7 KM', 'Gurgaon Railway Station': '4.2 KM', 'Aryan Hospital': '6.7 KM', 'The NorthCap University': '7.4 KM', 'Dwarka Sector 21 Metro Station': '10.9 KM', 'Pacific D21 Mall': '11 KM', 'Indira Gandhi Intl Airport': '18.1 KM'}"
19,flat,sector 62,2.15,2.0,2.0,3,Under Construction,1676.0,0.0,0.0,unfurnished,Medium,High Floor,static/data/19.jpg,Emaar Digihomes,"{'Imperia Mindspace': '140 Meter', 'AIPL Business Tower': '160 Meter', 'Heritage School': '1.3 KM', 'Lotus Valley Intl School, Gurgaon': '2.6 KM', 'Gurugram University': '3.6 KM', 'Sector 55-56 Metro Station': '3.9 KM', 'Park Hospital': '5.5 KM', 'Omaxe Gurgaon Mall': '5.8 KM', 'Sushant University': '6.1 KM', 'Badshahpur Sohna Rd Hwy,Sector 48': '7.5 KM', 'Indira Gandhi Intl Airport': '24.8 KM'}"
20,flat,sector 65,2.86,3.0,3.0,3,Under Construction,2267.0,1.0,0.0,unfurnished,Low,High Floor,static/data/20.jpg,M3m Heights,"{'M3m 65th Avenue Mall': '0.25 Km', 'DPS International School': '0.85 Km', 'Golf Course Extension Road': '1.4 Km', 'Park Hospital': '3.5 Km', 'Lemon Tree Hotel': '4.4 Km', 'Rapid Metro Sector 56': '5 Km', 'SkyJumper Trampoline Park': '5.1 Km', 'PVR Drive in Theatre': '5.7 Km', 'DPG Institute of Technology': '7.9 Km', 'Indira Gandhi International Airport': '22.8 Km', 'Gurgaon - Delhi Expy': '3.7 KM'}"
21,flat,sector 66,3.5,3.0,3.0,3,Moderately Old,2125.0,1.0,1.0,semifurnished,Medium,Mid Floor,static/data/21.jpg,Emaar Mgf The Palm Drive,"{'Ashoka International School': '2.3 Km', 'HUB 66': '2.6 Km', 'Park Hospital': '2.8 Km', 'Vatika Business Centre': '2.9 Km', 'NH 248A': '3.8 Km', 'Gurugram University': '4.3 Km', 'De Adventure Park': '5 Km', 'Sealdah': '6.1 Km', 'Sector 55-56 Rapid Metro Station': '6.5 Km', 'Hasanpur': '6.5 Km', 'Tau DeviLal Sports Complex': '7.2 Km', 'DLF Golf and Country Club': '11.9 Km', 'The Oberoi Gurgaon': '15 Km', 'Indira Gandhi International Airport': '22.7 Km'}"
22,flat,sector 86,1.54,3.0,3.0,3+,Relatively New,1780.0,1.0,0.0,unfurnished,High,High Floor,static/data/22.jpg,Dlf The Skycourt,"{'Holiday Inn Hotel Sector 90': '1.7 Km', 'Rao Bharat Singh International School': '2.3 Km', 'Aarvy Healthcare': '3.2 Km', 'NH-8, Imt Manesar': '8.7 Km', 'Imt Manesar': '5.9 Km', 'Sapphire 83 Mall': '6.1 Km', 'National Tennis Academy Sector 98': '7.2 Km', 'DPG Institute of Technology': '13.3 Km', 'Indira Gandhi International Airport': '31.6 Km', 'Aapno Ghar': '9.4 Km'}"
23,house,sector 48,8.25,4.0,4.0,3+,Relatively New,2160.0,1.0,1.0,semifurnished,High,Mid Floor,static/data/23.jpg,Vipul Tatvam Villa,"{'HDFC Bank': '43 mtrs', 'The Sixth Element School': '270 mtrs', 'K.R.Mangalam World School': '650 mtrs', 'Sushil Park': '400 mtrs', 'Peer Baba Ki Mazar': '400 mtrs', 'Punjab National Bank': '2.0 kms', 'CoNexus.Life B35': '160 mtrs', 'Medhaam Pre School & Daycare': '850 mtrs', 'Moksh Wellness Pvt Ltd.': '650 mtrs', 'Marriott Courtyard': '1.5 kms', 'Axis Bank': '1.4 kms', 'World Tech Park': '2.4 kms', 'Athena': '2.6 kms', 'Bharat Petroleum Petrol Pump': '2.6 kms', 'Star Mall': '2.3 kms'}"
24,house,sector 109,6.1,5.0,6.0,3+,Moderately Old,2430.0,1.0,0.0,unfurnished,Low,Low Floor,static/data/24.jpg,International City By Sobha Phase 1,"{'The Shikshiyan School': '2.9 Km', 'Dharampeth Main Road': '3.3 Km', 'Dwarka Expressway': '3.7 Km', 'Luxus Haritma Resort': '4.2 Km', 'BSF Golf Course': '4.7 Km', ""Rion's Hospital"": '5.7 Km', 'Gurgaon railway station': '6.2 Km', 'The NorthCap University': '8.1 Km', 'Dwarka sector 21 metro station': '9.9 Km', 'Pacific D21 Mall': '10 Km', ""Oyster's Water Park"": '15.1 Km', 'The Executive Centre': '16.9 Km', 'Indira Gandhi International Airport': '17.7 Km'}"
25,flat,sector 37,1.25,3.0,3.0,3,Relatively New,1563.0,0.0,0.0,unfurnished,Low,Low Floor,static/data/25.jpg,Corona Optus,"{'The Esplanade Mall': '0.85 Km', 'Gurugram Road': '1.1 Km', 'Heritage badminton academy': '1.1 Km', 'Green Field Public School': '1.4 Km', 'Kadipur Industrial Area': '2 Km', 'Delhi Jaipur Expressway': '3.5 Km', 'Tau DeviLal Sports Complex': '7.3 Km', 'Gurgaon Railway Station': '7.5 Km', 'Medanta The Medicity': '8.9 Km', 'SkyJumper Trampoline Park': '9 Km', 'Gurugram University': '10.8 Km', 'Holiday Inn Gurugram Sector 90': '12.9 Km', 'Indira Gandhi International Airport': '22.8 Km'}"
26,flat,sector 67,2.8,3.0,3.0,3,Moderately Old,2047.0,1.0,0.0,furnished,Low,Mid Floor,static/data/26.jpg,M3m Merlin,"{'Alpine Convent School': '0.95 Km', 'MKD Hospital': '3.1 Km', 'Airia Mall': '3.7 Km', 'Golf Course Extension Road': '3.9 Km', 'Lemon Tree Hotel, Sohna Road': '4.9 Km', 'SkyJumper Trampoline Park': '5.2 Km', 'PVR Drive in Theatre': '5.4 Km', 'DPG Institute of Technology': '8.9 Km', 'DLF Golf and Country Club': '13 Km', 'Indira Gandhi International Airport': '24.8 Km'}"
27,flat,sector 111,2.58,3.0,4.0,2,Moderately Old,2200.0,1.0,0.0,unfurnished,Medium,Mid Floor,static/data/27.jpg,Puri Diplomatic Greens,"{'Dwarka Expressway': '0.3 Km', 'Metro Hospital, Palam Vihar': '1.5 Km', 'Delhi': '2 Km', 'Red Roses Public School': '3.5 Km', 'The NorthCap University': '4.5 Km', 'Gurgaon Dreamz Mall': '7 Km', 'Delhi Jaipur Highway': '8 Km', 'The Oberoi, Gurgaon': '9 Km', 'Dwarka Sector 21 Metro Station': '10 Km', 'Indira Gandhi International Airport': '15 Km'}"
28,flat,sector 113,3.0,3.0,3.0,3+,Relatively New,2460.0,1.0,0.0,unfurnished,High,Mid Floor,static/data/28.jpg,La Vida By Tata Housing,"{'Bajghera Road': '550 Meter', ""Rion's Hospital"": '3.1 KM', 'Dwarka Expy': '3.8 KM', 'Bijwasan Railway Station': '4.5 KM', 'Euro International School, Sector- 109.': '6.1 KM', 'The NorthCap University': '6.7 KM', 'Dwarka Sector 21': '7.4 KM', 'Pacific D21 Mall': '7.5 KM', 'Indira Gandhi Intl Airport': '15.6 KM'}"
29,flat,sector 61,2.1,3.0,2.0,3,Under Construction,1534.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/29.jpg,Smart World Orchard,"{'Golf Course Ext Road': '1.1 KM', 'Sector 55-56 Metro station': '1.9 KM', 'Bestech Central Square Mall': '2.5 KM', 'ORCHIDS The International School': '3.1 Km', 'Sushant University': '3.5 KM', 'Marengo Asia Hospitals': '8.8 KM', 'Badshahpur Sohna Rd Hwy': '12.5 KM', 'Gurgaon Railway Station': '16 KM', 'Indira Gandhi Intl Airport': '19.3 KM'}"
30,flat,sector 69,1.38,3.0,3.0,1,Relatively New,1709.0,0.0,0.0,unfurnished,High,High Floor,static/data/30.jpg,Tulip Violet,"{'Imperio School': '1.9 Km', 'Ektaa Hospitals': '3.9 Km', 'Vipul Trade Business Centre': '5 Km', 'Radisson Hotel Gurugram': '5.2 Km', 'Airia Mall Sector 68': '5.8 Km', 'SkyJumper Trampoline Park': '6.1 Km', 'Southern Peripheral Road': '6.1 Km', 'Golf Course Extension Rd': '6.3 Km', 'DPG Institute of Technology': '7.4 Km', 'Indira Gandhi International Airport': '30.3 Km'}"
31,flat,sector 89,1.71,3.0,2.0,0,New Property,1423.0,0.0,0.0,unfurnished,Low,Mid Floor,static/data/31.jpg,Smart World Gems,"{'Genesis Hospital Sector 84': '2.2 Km', 'Dwarka Expressway': '2.9 Km', 'RPS International School': '3.4 Km', 'Holiday Inn Gurugram Sector 90': '4.1 Km', 'Sant Soordas Sihi Metro Station': '5.1 Km', 'Pataudi Road': '8.5 Km', 'National Tennis Academy Sector 98': '8.7 Km', 'IMT Manesar': '9.5 Km', 'NH-8': '9.5 Km', 'Gurgaon Railway Station': '12.4 Km', 'De Adventure Amusement Park': '15 Km', 'KMP Expressway': '15.4 Km', 'Vatika Business Park Sector 49': '17 Km', 'Airia Mall': '17 Km'}"
32,flat,sector 67a,1.85,3.0,4.0,3,New Property,1941.0,0.0,1.0,semifurnished,High,Mid Floor,static/data/32.jpg,Ireo The Corridors,"{'Lovely Public School': '2.9 Km', 'Southern Peripheral Road': '3.7 Km', 'Paras Trinity Mall': '3.7 Km', 'KIIT College of Engineering': '4.1 Km', 'PVR Drive in Theatre': '5.6 Km', 'De Adventure Park': '6 Km', 'Lemon Tree Hotel, Sohna Road': '6.6 Km', 'AIPL Business Centre': '9.8 Km', 'Huda Metro Station (Gurugram)': '9.9 Km', 'Teri Golf Course': '12.7 Km', 'Indira Gandhi International Airport': '24.8 Km', 'Radisson Hotel': '5.8 km'}"
33,flat,sector 37d,0.6,2.0,2.0,3,New Property,625.0,0.0,0.0,unfurnished,Low,Mid Floor,static/data/33.jpg,Signature Global The Millennia,"{'Signature tower': '12 Km', 'Jharsha Chowk': '9 Km', 'Hero Honda Chowk': '5 Km', 'Rajiv Chowk': '8 Km', 'Umang Bhawaj Chawk': '2 Km', 'IMT Manesar': '13 Km', 'NH 8': '5 Km', 'Delhi': '10 Km', 'Dwarka Expressway': '2.5 Km', 'Gurgaon Railway Station': '9.3 Km', 'Basai Dhancourt Railway Station': '2 Km', 'AIIMS Jhajjar': '15 Km', 'Vedic Hospital': '3.2 Km', 'Balaji Hospital': '6.4 Km', 'SGT Medical College': '11.1 Km'}"
34,flat,sector 82,0.81,2.0,2.0,2,Relatively New,1176.0,0.0,0.0,semifurnished,Medium,High Floor,static/data/34.jpg,Vatika The Seven Lamps,"{'SS Omnia Mall': '3.3 Km', 'Nakhrola Stadium': '3.4 Km', 'Hyatt Regency Gurgaon': '3.9 Km', 'Arc Multi Speciality Hospital': '4.1 Km', 'Knowledge Tree World School': '4.4 Km', 'IMT Manesar': '8.8 Km', 'DPG Institute of Technology': '10.7 Km', 'SkyJumper Trampoline Park': '12.5 Km', 'Golf Course Ext Rd': '15 Km', 'Indira Gandhi International Airport': '28.9 Km'}"
35,flat,sector 53,5.6,3.0,3.0,3+,Under Construction,2617.0,0.0,0.0,unfurnished,Low,Low Floor,static/data/35.jpg,Tulip Monsella,"{'Mavens Inn': '350 M', 'Sanar International Hospital': '500 M', 'Central Plaza Mall': '1 Km', 'Sector 53-54 Metro Station': '1.3 Km', 'IILM University, Gurugram': '1.6 Km', 'The Banyan Tree World School': '2 Km', 'The Big Tree Cafe': '2.7 Km', 'DLF Golf and Country Club': '4.6 Km', 'DoubleTree by Hilton Hotel': '1.6 Km'}"
36,flat,sector 74,1.5,2.0,2.0,3,Relatively New,1300.0,0.0,1.0,unfurnished,High,High Floor,static/data/36.jpg,M3m Skywalk,"{'Omaxe Gurgaon Mall': '5.6 KM', 'Kunskapsskolan School': '5.7 KM', 'Omaxe Celebration Mall': '6.8 KM', 'Gurgaon - Delhi Expy, Sector 75A': '7.9 KM', 'Park Hospital': '9 KM', 'Gurugram University': '10.6 KM', 'Indira Gandhi Intl Airport': '25.3 KM'}"
37,flat,sector 37d,1.45,3.0,3.0,3,Relatively New,1639.0,0.0,0.0,unfurnished,Medium,Mid Floor,static/data/37.jpg,Bptp Terra,"{'Euro International School': '0.53 Km', 'Dwarka Expressway': '1.4 Km', 'DPG Institute of Technology': '6.7 Km', 'SkyJumper Trampoline Park': '9.5 Km', 'Medanta -The Medicity': '10 Km', 'Holiday Inn Sector 90': '10.3 Km', 'DLF Corporate Greens': '9.6 Km', 'Golf Course Extension Road': '13.2 Km', 'Airia Mall': '15.8 Km', 'Indira Gandhi International Airport': '24.3 Km', 'Amma Hospital': '1 Km'}"
38,flat,sector 108,1.65,3.0,4.0,3,Moderately Old,1771.32,0.0,0.0,semifurnished,Medium,Mid Floor,static/data/38.jpg,Experion The Heartsong,"{'Galleria 108 Mall': '0.65 Km', 'The Shikshiyan School': '0.75 Km', 'Dwarka Expressway': '3 Km', 'Manipal Hospital': '8.5 Km', 'SkyJumper Trampoline Park': '12.1 Km', 'Vivanta New Delhi, Dwarka': '13.3 Km', 'Fun N Food Village': '14.1 Km', 'Central Peripheral Road': '14.8 Km', 'Indira Gandhi International Airport': '20.5 Km'}"
39,house,sector 43,5.75,4.0,4.0,2,Under Construction,2430.0,1.0,1.0,furnished,High,Mid Floor,static/data/39.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
40,flat,sector 85,1.12,2.0,2.0,3,Relatively New,1485.0,0.0,0.0,unfurnished,Low,Mid Floor,static/data/40.jpg,Ss The Leaf,"{'Delhi Public School Sector 84': '0.65 Km', 'Genesis Hospital Sector 84': '0.7 Km', 'Sapphire 83 Mall': '2.6 Km', 'Holiday Inn Hotel Sector 90': '3 Km', 'Dwarka Expressway': '3.8 Km', 'Central Peripheral Road': '3.9 Km', 'Nakhrola Stadium Sector 81A': '5.3 Km', 'NH 08': '8.1 Km', 'Imt Manesar': '8.1 Km', 'Pataudi Road': '9.2 Km', 'DPG Institute of Technology': '11.6 Km', 'SkyJumper Trampoline Park': '13.4 Km', 'Indira Gandhi International Airport': '29.9 Km'}"
41,house,sector 4,0.67,3.0,2.0,1,Moderately Old,783.0,0.0,0.0,unfurnished,Low,Low Floor,static/data/41.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
42,house,sector 14,4.15,5.0,4.0,2,Old Property,2250.0,0.0,0.0,semifurnished,Medium,Low Floor,static/data/42.jpg,Independent,"{'Delhi International Airport': '34 minutes drive', 'AIIMS': '26 minutes drive', 'The Hive': '5 minutes drive', 'Gurugram Rd': 'In close proximity', 'JMS Marine Square': '8 minutes drive', 'Stymerra Chowk': '8 minutes drive', 'Sector 102 Dhankot': '5 minutes drive', 'Shri Hanuman Ji Mandir': '5 minutes drive', 'MCC Cricket Ground Dhankot': '6 minutes drive', 'KFG Sports Club': '8 minutes drive', 'Signature Hospital': '10 minutes drive', 'Prime Scholars Int. School': 'In close proximity'}"
43,flat,sector 67,3.4,3.0,4.0,3,Relatively New,2134.0,1.0,0.0,semifurnished,High,High Floor,static/data/43.jpg,M3m Merlin,"{'Alpine Convent School': '0.95 Km', 'MKD Hospital': '3.1 Km', 'Airia Mall': '3.7 Km', 'Golf Course Extension Road': '3.9 Km', 'Lemon Tree Hotel, Sohna Road': '4.9 Km', 'SkyJumper Trampoline Park': '5.2 Km', 'PVR Drive in Theatre': '5.4 Km', 'DPG Institute of Technology': '8.9 Km', 'DLF Golf and Country Club': '13 Km', 'Indira Gandhi International Airport': '24.8 Km'}"
44,flat,sector 81,2.3,3.0,3.0,3+,Relatively New,1617.0,1.0,0.0,furnished,Low,High Floor,static/data/44.jpg,Dlf The Ultima,"{'Miracles Apollo Cradle Hospital': '700 Meter', 'Manesar Road': '1 KM', 'Vatika Town Square-INXT': '2.7 KM', 'NH 48': '2.8 KM', 'Euro International School, Sec 84': '3.2 KM', 'Garhi Harsaru Junction': '7 KM', 'SGT University': '14.4 KM', 'Huda Metro Station (Gurugram)': '19.5 KM', 'Indira Gandhi Intl Airport': '29.4 KM'}"
